,product,price,link
0,"Activia Mango, Strawberry, Kiwi & Apricot Multipack Yoghurt",£3.00,https://groceries.asda.com/product/gut-health-yogurts-kefir/activia-mango-strawberry-kiwi-apricot-multipack-yoghurt/1000290068605
1,GetPro 15g Protein Yoghurt Blueberry Flavour 160g,£1.00,https://groceries.asda.com/product/high-in-protein/get-pro-15-g-protein-yoghurt-blueberry-flavour-160-g/1000383189557
2,GetPro 20g Protein Mousse Chocolate Flavour 200g,£2.50,https://groceries.asda.com/product/high-in-protein/get-pro-20-g-protein-mousse-chocolate-flavour-200-g/1000383189646
3,Muller Corner Vanilla Yogurt with Chocolate Balls,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-vanilla-yogurt-with-chocolate-balls/1000377031656
4,Actimel Multifruit Cultured Yoghurt Drink,£3.00,https://groceries.asda.com/product/kefir-live-yogurt-drinks/actimel-multifruit-cultured-yoghurt-drink/81421582
5,Muller Corner Strawberry Yogurt,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-strawberry-yogurt/1000377031677
6,Actimel Strawberry Cultured Yoghurt Drink,£3.00,https://groceries.asda.com/product/kefir-live-yogurt-drinks/actimel-strawberry-cultured-yoghurt-drink/71431377
7,JUST ESSENTIALS by ASDA Fromage Frais 12x50g (600g),£0.80,https://groceries.asda.com/product/kids-yogurts-fromage-frais/just-essentials-by-asda-fromage-frais-12-x-50-g-600-g/1000383182025
8,Actimel Strawberry Blueberry Cultured Yoghurt Drink,£3.00,https://groceries.asda.com/product/kefir-live-yogurt-drinks/actimel-strawberry-blueberry-cultured-yoghurt-drink/910001285141
9,Muller Corner Banana Yogurt with Chocolate Flakes,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-banana-yogurt-with-chocolate-flakes/1000377031660
10,Muller Corner Toffee Yogurt with Chocolate Hoops,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-toffee-yogurt-with-chocolate-hoops/1000377031761
11,Lancashire Farm Natural Yogurt,£1.60,https://groceries.asda.com/product/natural-greek-yogurts/lancashire-farm-natural-yogurt/1000000473618
12,"Wildlife Choobs Strawberry, Raspberry and Apricot Flavour Yogurt Tubes 6x37g",£1.15,https://groceries.asda.com/product/kids-yogurts-fromage-frais/wildlife-choobs-strawberry-raspberry-and-apricot-flavour-yogurt-tubes-6-x-37-g/1000078555663
13,Activia Strawberry Yoghurt,£2.50,https://groceries.asda.com/product/gut-health-yogurts-kefir/activia-strawberry-yoghurt/1000290068084
14,ASDA Strawberry Fromage Frais Yogurt Pouches,£1.40,https://groceries.asda.com/product/kids-yogurts-fromage-frais/asda-strawberry-fromage-frais-yogurt-pouches/910003084417
15,ASDA Creamy Greek Style Yogurt 1kg,£1.95,https://groceries.asda.com/product/natural-greek-yogurts/asda-creamy-greek-style-yogurt-1-kg/910000773349
16,ASDA 6x125g Low Fat Smooth Strawberry Yogurts,£0.89,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/asda-6-x-125-g-low-fat-smooth-strawberry-yogurts/910002962500
17,Nestle Smarties Vanilla Flavour Yogurt 6x107g,£2.50,https://groceries.asda.com/product/corner-yogurts/nestle-smarties-vanilla-flavour-yogurt-6-x-107-g/1000226920884
18,Muller Corner Strawberry Yogurt with White Chocolate Shortcake Balls,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-strawberry-yogurt-with-white-chocolate-shortcake-balls/1000377031741
19,Munch Bunch Double Up Strawberry & Vanilla Yogurts,£1.80,https://groceries.asda.com/product/kids-yogurts-fromage-frais/munch-bunch-double-up-strawberry-vanilla-yogurts/910000446045
20,Muller Corner Red Cherry Yogurt,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-red-cherry-yogurt/1000383152181
21,Munch Bunch Squashums Strawberry Yogurt Drinks,£1.25,https://groceries.asda.com/product/kids-yogurts-fromage-frais/munch-bunch-squashums-strawberry-yogurt-drinks/48537352
22,ASDA Creamy Greek Style Yogurt 500g,£1.10,https://groceries.asda.com/product/natural-greek-yogurts/asda-creamy-greek-style-yogurt-500-g/25611979
23,Muller Corner Peach & Apricot Yogurt,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-peach-apricot-yogurt/1000383164340
24,Actimel Strawberry 0% Added Sugar Fat Free Yoghurt Drink,£3.50,https://groceries.asda.com/product/kefir-live-yogurt-drinks/actimel-strawberry-0-added-sugar-fat-free-yoghurt-drink/6979691
25,Wildlife Strawberry & Peach Fromage Frais 18 x 45g,£2.00,https://groceries.asda.com/product/kids-yogurts-fromage-frais/wildlife-strawberry-peach-fromage-frais-18-x-45-g/1000063405986
26,Muller Corner Vanilla Chocolate Balls and Banana Chocolate Flakes Yogurts,£4.00,https://groceries.asda.com/product/corner-yogurts/muller-corner-vanilla-chocolate-balls-and-banana-chocolate-flakes-yogurts/1000377031669
27,ASDA Low Fat Smooth Fruity & Sweet Vanilla Toffee & Banana Yogurts 6x125g,£0.89,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/asda-low-fat-smooth-fruity-sweet-vanilla-toffee-banana-yogurts-6-x-125-g/910002979301
28,Muller Corner Strawberry and Peach & Apricot Yogurts,£4.00,https://groceries.asda.com/product/corner-yogurts/muller-corner-strawberry-and-peach-apricot-yogurts/1000377031678
29,Activia Peach No Added Sugar Fat Free Yoghurt,£2.50,https://groceries.asda.com/product/gut-health-yogurts-kefir/activia-peach-no-added-sugar-fat-free-yoghurt/1000290067858
30,"Onken Mango, Papaya & Passion Fruit Yogurt",£1.25,https://groceries.asda.com/product/big-pot-yogurts/onken-mango-papaya-passion-fruit-yogurt/910000470832
31,Munch Bunch Double Up Strawberry & Banana Yogurts,£1.80,https://groceries.asda.com/product/kids-yogurts-fromage-frais/munch-bunch-double-up-strawberry-banana-yogurts/910000446282
32,Muller Light Fat Free Toffee Yogurt,£0.90,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/muller-light-fat-free-toffee-yogurt/1000116808315
33,Activia Vanilla & Granola Low Fat Yogurt,£1.10,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/activia-vanilla-granola-low-fat-yogurt/1000078311452
34,Muller Light Fat Free Banana and Custard Yogurt,£0.90,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/muller-light-fat-free-banana-and-custard-yogurt/1000116808339
35,Ski Smooth Strawberry & Raspberry Yogurts,£1.45,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/ski-smooth-strawberry-raspberry-yogurts/910000019101
36,ASDA Fat Free Greek Style Yogurt,£0.85,https://groceries.asda.com/product/natural-greek-yogurts/asda-fat-free-greek-style-yogurt/1000383153073
37,ASDA Creamy Honey Greek Style Yogurt 450g,£1.25,https://groceries.asda.com/product/natural-greek-yogurts/asda-creamy-honey-greek-style-yogurt-450-g/910000461974
38,Muller Corner Mississippi Mud Pie Chocolate Yogurt,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-mississippi-mud-pie-chocolate-yogurt/1000383167961
39,Wildlife Choobs Strawberry Flavour Yogurt Tubes 6x37g,£1.15,https://groceries.asda.com/product/kids-yogurts-fromage-frais/wildlife-choobs-strawberry-flavour-yogurt-tubes-6-x-37-g/1000078555728
40,"Frubes Strawberry, Red Berry and Peach Flavour Yogurt Tubes 9 x 37g (333g)",£1.50,https://groceries.asda.com/product/kids-yogurts-fromage-frais/frubes-strawberry-red-berry-and-peach-flavour-yogurt-tubes-9-x-37-g-333-g/1000078555677
41,"Activia Strawberry, Raspberry, Cherry & Blueberry No Added Sugar Fat Free Multipack yoghurt",£3.00,https://groceries.asda.com/product/gut-health-yogurts-kefir/activia-strawberry-raspberry-cherry-blueberry-no-added-sugar-fat-free-multipack-yoghurt/1000290067947
42,"ASDA Apricot, Raspberry & Strawberry Fromage Frais12m+",£0.84,https://groceries.asda.com/product/kids-yogurts-fromage-frais/asda-apricot-raspberry-strawberry-fromage-frais-12-m/910003084364
43,Oykos Strawberry Luxury Greek Style Yoghurt,£2.00,https://groceries.asda.com/product/natural-greek-yogurts/oykos-strawberry-luxury-greek-style-yoghurt/910000786632
